"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT","FA","ID","MS","TL","VI"
"TID_XP_TITLE_HAYDAY","Play Hay Day!","Jouez à Hay Day !","Spiele Hay Day!","¡Juega a Hay Day!","Gioca a Hay Day!","Speel Hay Day!","Spill Hay Day!","Jogue Hay Day!","Hay Day oyna!","ヘイ・デイを遊ぼう","玩卡通农场（Hay Day）！","Hay Day를 즐겨보세요!","Играть в Hay Day!","العب Hay Day!","玩「卡通農場」遊戲！","Hay Day را بازی کنید!","Mainkan Hay Day!","Main Hay Day!","Maglaro ng Hay Day!","Chơi Hay Day!"
"TID_XP_TEXT_HAYDAY","Get back to nature and experience the peaceful, simple life of working the land and raising animals","Répondez à l'appel de la nature pour mener une vie simple et paisible, consacrée au travail de la terre et à l'élevage d'animaux.","Kehre zurück zur Natur und genieße das einfache und friedliche Landleben mit Feldarbeit und Tierzucht.","Vuelve a la naturaleza a disfrutar de la paz y la tranquilidad trabajando en el campo y cuidando a los animales.","Immergiti nella natura e prova uno stile di vita semplice e tranquillo, coltivando la terra e allevando bestiame","Ga terug naar de natuur en leef een rustig en vredig leven door op het land te leven en dieren te houden.","Bli ett med naturen, og opplev et fredelig og enkelt liv med gårdsdrift og dyrehold","Curta a natureza e descubra uma vida pacata e simples cultivando a terra e criando animais","Doğaya geri dön ve toprağı işlemenin ve hayvan yetiştirmenin huzurunu keşfet","90カ国でランキング一位を獲得した\n超人気ゲームがついに日本でリリース！\nスーパーセルからの新作を今すぐ遊ぼう！","返璞归真，体验平静、简单的田园放牧生活","자연으로 돌아가서 땅을 일구고 가축을 기르는 평화롭고 단조로운 삶을 경험해보세요.","Вернитесь к корням: вспомните, что есть еще на свете спокойная, простая жизнь. Обрабатывайте землю и выращивайте животных.","عد إلى الطبيعة وجرّب الحياة البسيط المسالمة للعمل في الأرض وتربية الحيوانات","返樸歸真，體驗平靜且單純的田園放牧生活","به طبیعت برگردید و یک زندگی آرامش بخش و ساده را با کار روی زمین و پرورش حیوانات تجربه کنید","Kembali ke alam dan rasakan pengalaman hidup sederhana dan damai, dengan bercocok tanam dan beternak","Kembali ke alam semula jadi dan alami kehidupan yang tenang, mudah dengan bekerja di darat dan membela binatang","Bumalik sa kanayunan at mamuhay nang simple at tahimik habang nagsasaka at nag-aalaga ng mga hayop","Về lại với thiên nhiên và trải nghiệm cuộc sống bình yên, giản đơn cùng trồng trọt và chăn nuôi"
"TID_XP_BUTTON_HAYDAY","Free","Gratuit","Kostenlos","Gratis","Gratis","Gratis","Gratis","Grátis","Ücretsiz","無料","免费","무료","Бесплатно","مجانًا","免費","رایگان","Gratis","Percuma","Libre","Miễn phí"
"TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE","Purchase failed","Échec de l'achat","Kauf fehlgeschlagen","Error de compra","Acquisto non riuscito","Aankoop mislukt","Kjøpet mislyktes","Falha na compra","Satın alma başarısız oldu","購入に失敗","购买失败","결제 실패","Покупка не удалась","فشلت عملية الشراء","購買失敗","خرید انجام نشد","Pembelian gagal","Pembelian gagal","Hindi nabili","Mua thất bại"
"TID_ERROR_POP_UP_PURCHASE_FAILED","Billing server not responding. Please try again later.","Le service de facturation ne répond pas. Veuillez réessayer plus tard.","Abrechnungsserver antwortet nicht. Bitte versuche es später erneut.","El servidor de facturación no responde. Inténtalo de nuevo más tarde.","Il server per i pagamenti non risponde. Riprova più tardi.","De transactieserver reageert niet. Probeer het later opnieuw.","Betalingsserveren svarer ikke. Prøv igjen senere.","O servidor de cobrança não responde. Tente novamente mais tarde.","Fatura sunucusu yanıt vermiyor. Lütfen daha sonra tekrar dene.","課金処理サーバーが応答していません。後ほどお試しください","计费服务器未响应。请稍后再试。","결제 서버가 응답하지 않습니다. 나중에 다시 시도해주세요.","Сервер оплаты не отвечает. Пожалуйста, попробуйте позже.","خادم الدفع لا يستجيب. من فضلك حاول ثانيةً لاحقًا.","計費伺服器沒有回應。請稍後重試。","سرور صورتحساب پاسخ نمی‌دهد. لطفاً بعداً دوباره امتحان کنید.","Server penagihan tidak menanggapi. Coba lagi nanti.","Pelayan pengebilan tidak memberikan respons. Sila cuba lagi kemudian.","Walang response mula sa billing server. Pakisubukan ulit mamaya.","Máy chủ thanh toán không phản hồi. Vui lòng thử lại sau."
"TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON","Ok","OK","O. K.","Vale","OK","Oké","OK","Ok","Tamam","OK","确定","확인","ОК","حسنًا","確定","تأیید","Oke","Ok","Ok","Ok"
"TID_GOOGLE_ACCOUNT_ALREADY_BOUND","Google Play Sign-In failed! Your Google account is already associated with another game account.","Échec de la connexion à Google Play ! Votre compte Google est déjà associé à un autre compte de jeu.","Anmeldung bei Google Play fehlgeschlagen! Dein Google-Konto ist bereits mit einem anderen Spielkonto verknüpft.","Se ha producido un fallo al conectar con Google Play. Tu cuenta de Google ya está asociada a otra cuenta del juego.","Accesso a Google Play non riuscito! Il tuo account Google è già associato a un altro account di gioco.","Aanmelden bij Google Play mislukt! Je Google-account is al gekoppeld aan een ander game-account.","Google Play Sign-In mislyktes! Google-kontoen din er tilknyttet en annen spillkonto.","Falha ao fazer login no Google Play! Sua conta do Google já está associada a outra conta de jogo.","Google Play ile Giriş başarısız! Google hesabın başka bir oyun hesabı ile çakışıyor.","Google Playへのログインに失敗しました！あなたのGoogle アカウントは既に他のゲームアカウントと関連づけされています。","Google Play登录失败！您的Google账户已关联另一个村庄。","Google Play 계정 로그인 실패! Google 계정이 이미 다른 계정과 연동되어 있습니다.","Не удалось войти в Google Play! Ваша учетная запись Google уже привязана к другой игре.","فشل تسجيل الدخول إلى Google Play! يرتبط حسابك في Google بالفعل بحساب آخر في اللعبة.","Google Play Sign-In登入失敗！您的Google帳號已經和其他遊戲帳號建立關聯。","خطای ورود به سیستم Google Play! حساب Google شما قبلا به یک حساب بازی دیگر متصل شذه است.","Google Play Sign-In gagal! Akun Google ini sudah diasosiasikan dengan akun game lainnya.","Google Play Sign-In gagal! Akaun Google anda sudah dikaitkan dengan akaun permainan lain.","Pumalya ang Google Play Sign-In! Naka-associate na ang Google account mo sa ibang game account.","Đăng nhập Google Play thất bại! Tài khoản Google của bạn đã liên kết với một tài khoản trò chơi khác."
"TID_BUTTON_ATTACK_MODE_SINGLE","Single","Unique","Einzeln","Único","Singolo","Eén","Én","Único","Tekli","単体攻撃","单一目标模式","싱글","Одиночная","مفرد","單一目標模式","تسریع عمومی","Tunggal","Satu","Single","Chơi đơn"
"TID_BUTTON_ATTACK_MODE_MULTIPLE","Multiple","Multiple","Mehr-\nfach","Múltiple","Multiplo","Meer","Flere","Múltiplo","Çoklu","複数攻撃","多重目标模式","멀티","Несколько","مضاعف","多重目標模式","چندمنظوره","Banyak","Berbilang","Multiple","Nhiều người chơi"
"TID_HINT_AIR_MINE_MINION","Seeking Air Mines do not detect Minions","Les mines chercheuses ne détectent pas les gargouilles.","Suchende Luftminen können Lakaien nicht aufspüren","Las minas de rastreo aéreo no detectan a los esbirros.","Lo stanatore di mine aeree non rileva gli sgherri.","Luchtmijnzoekers detecteren geen gunstelingen.","Målsøkende luftminer finner ikke lakeier","Minas Aéreas Guiadas não detectam Servos","Güdümlü Hava Mayınları, Dalkavukları patlatmaz","ホーミング対空地雷は、ガーゴイルを感知しません","搜空地雷无法探测到亡灵。\n请关注官方微信订阅号cocsupercell和服务号coc-kefu","대공 지뢰는 미니언을 감지할 수 없습니다.","Мины Воздушного Поиска не обнаруживают Миньонов.","الألغام الجوية المطاردة لا تكتشف المينيون.","搜空地雷偵測不到亡靈","مین هوایی ردیاب، خرفتسران را تشخیص نمی‌دهد.","Ranjau Udara Pencari tidak dapat mendeteksi Minion","Mencari Lombong Udara tidak mengesan Konco","Hindi nade-detect ng mga Seeking Air Mine ang mga Minion","Mìn Bay Tầm diệt không thể phát hiện ra Minion"
"TID_HINT_VILLAGE_EDIT_MODE","Easily reorganize your village with the Village Edit Mode","Réorganisez facilement votre village en mode édition.","Im Dorfbearbeitungsmodus kannst du dein Dorf ganz einfach umbauen","Reorganiza tu aldea fácilmente con el modo de edición.","Riorganizza facilmente il tuo villaggio con la modalità Modifica villaggio.","Je kunt je dorp opnieuw indelen met de bewerkingsmodus voor je dorp.","Med landsby-redigeringsmodus kan du enkelt omorganisere landsbyen","Reorganize sua vila facilmente com o Modo Edição da Vila","Köy Düzenleme Modu ile köyünü kolayca düzenle","村の編集モードで、あなたの村をらくらく再配置","使用村庄编辑功能可轻松设计村庄阵型。\n请关注官方微信订阅号cocsupercell和服务号coc-kefu","마을 배치 모드를 이용하면 건물의 위치를 쉽게 변경할 수 있습니다.","Деревню можно легко переустроить в Режиме Изменения Деревни.","قم بتمييز قريتك بسهولة بوضع تعديل القرية","使用村莊編輯模式有助於重新配置你的村莊。","به آسانی دهکده‌تان را با حالت ویرایش دهکده مجدداً سازماندهی کنید","Tata ulang desamu dengan mudah menggunakan Mode Edit Desa","Atur semula kampung anda dengan mudah menggunakan Mod Edit Kampung.","I-reorganize ang village mo nang walang kahirap-hirap gamit ang Village Edit Mode","Có thể dễ dàng tái tổ chức làng của bạn trong Chế độ Chỉnh sửa Làng"
"TID_HINT_TRAP_REPAIR","Traps and bombs need to be re-armed after they have been used","Les pièges et les bombes doivent être réarmés après utilisation.","Fallen und Bomben müssen nach der Benutzung reaktiviert werden","Recuerda que debes rearmar tus trampas y bombas tras haberlas usado.","Trappole e bombe devono essere riattivate dopo l'utilizzo.","Je moet vallen en bommen herladen nadat deze zijn gebruikt.","Feller og bomber må armeres på nytt etter å ha blitt brukt","As armadilhas e bombas devem ser rearmadas depois de usadas","Tuzakların ve bombaların kullanıldıktan sonra yeniden silahlandırılması gerekir","一度使ったトラップと爆弾を再び使用するには、「再利用」が必要です","陷阱和炸弹被触发后，需重新布置。\n请关注官方微信订阅号cocsupercell和服务号coc-kefu","함정과 폭탄을 사용한 후에는 재장전해야 사용할 수 있습니다.","Ловушки и бомбы нужно перезарядить после того, как они были использованы.","يجب إعادة تسليح الفخاخ والقنابل بعد استخدامها","陷阱和炸彈在使用後都必須重新設置。","تله‌ها و بمب‌ها باید پس از استفاده دوباره مسلح شوند","Jebakan dan bom perlu diaktifkan kembali setelah digunakan","Perangkap dan bom perlu diberikan semula selepas digunakan","Kailangang i-rearm ang mga trap at bomb kapag nagamit na ang mga ito","Bạn cần tái vũ trang bẫy và bom sau khi sử dụng"
"TID_HINT_TRAP_UPGRADING","Be sure to upgrade your traps to keep unwanted visitors off your lawn","N'oubliez pas d'améliorer vos pièges pour vous débarrasser des intrus.","Verbessere deine Fallen, um dir unerwünschten Besuch vom Hals zu halten","No olvides mejorar tus trampas para mantener a raya al enemigo.","Migliora le trappole per tenere alla larga i visitatori indesiderati.","Vergeet niet je vallen te upgraden als je ongewenste indringers buiten de deur wilt houden.","Husk å oppgradere fellene slik at du ikke får besøk av uønskede gjester","Não se esqueça de melhorar suas armadilhas para manter os visitantes indesejados longe","İstenmeyen ziyaretçileri arazinden uzak tutmak için tuzaklarını yükseltmeyi unutma","招かれざるお客さんを寄せ付けないよう、トラップをアップグレードしましょう","别忘了升级您的陷阱，将那些不速之客拒之门外！\n请关注官方微信订阅号cocsupercell和服务号coc-kefu","함정을 업그레이드하여 마을에 침입한 불청객을 날려 버리세요!","Позаботьтесь об улучшении ловушек, чтобы держать незваных гостей на расстоянии.","احرص على ترقية فخاخك لإبقاء الزوار غير المرغوب فيهم بعيدًا عنك","請務必為陷阱升級，以防不速之客擅闖家門。","برای دور نگه داشتن بازدیدکنندگان ناخواسته از مرغزار خود، مطمئن شوید که تله‌هایتان را ارتقا می‌دهید","Pastikan untuk meningkatkan jebakan agar tamu tak diundang tidak masuk ke wilayahmu","Pastikan untuk menaik taraf perangkap anda bagi memastikan pelawat yang tidak diingini tiada di laman anda","Siguraduhing ia-upgrade mo ang mga trap mo para maitaboy mo ang mga kalaban mo","Hãy nhớ nâng cấp bẫy của bạn để ngăn chặn những kẻ xâm phạm lãnh địa của bạn"
"TID_HINT_SAFEGUARD_PROGRESS","Sign in using your Game Center account to safeguard your progress.","Connectez-vous à votre compte Game Center pour sauvegarder votre progression.","Melde dich mit deinem Game Center-Account an, um deinen Fortschritt zu sichern.","Conecta con Game Center para guardar tu progreso.","Accedi con il tuo account Game Center per salvaguardare i tuoi progressi.","Meld je aan met je Game Center-account om je voortgang te bewaren.","Logg inn med Game Center-kontoen din for å beskytte fremdriften.","Faça login com sua conta do Game Center para salvar o progresso.","İlerlemeni koruma altına almak için Game Center hesabını kullanarak giriş yap.","Game Centerアカウントでログインすることで、ゲームの進行状況を安全にバックアップできます。","登录Game Center账户保存您的进度。\n请关注官方微信订阅号cocsupercell和服务号coc-kefu","Game Center 계정으로 로그인해서 진행 상황을 안전하게 보관하세요.","Войдите в свою учетную запись Game Center, чтобы обезопасить свой прогресс.","قم بتسجيل الدخول باستخدام حساب Game Center لحماية تقدمك.","使用Game Center帳號登入來保護您的遊戲進度。","برای محافظت از پیشرفتتان، با استفاده از حساب Game Center خود وارد سیستم شوید.","Masuk menggunakan akun Game Center untuk mengamankan kemajuanmu.","Daftar masuk menggunakan akaun Game Center anda untuk melindungi perkembangan anda.","Mag-sign in gamit ang Game Center account mo para maprotektahan ang progress mo.","Hãy đăng nhập bằng tài khoản Game Center để bảo vệ an toàn tiến trình của bạn."
"TID_HINT_SAFEGUARD_PROGRESS_ANDROID","Sign in using your Google Play account to safeguard your progress.","Connectez-vous à votre compte Google Play pour sauvegarder votre progression.","Melde dich mit Google Play an, um deinen Fortschritt zu sichern.","Conecta con Google Play para guardar tu progreso.","Accedi con il tuo account Google Play per salvaguardare i tuoi progressi.","Meld je aan met je Google Play account om je voortgang te bewaren.","Logg inn med Google Play-kontoen din for å beskytte fremdriften.","Faça login com sua conta do Google Play para salvar o progresso.","İlerlemeni koruma altına almak için Google Play hesabını kullanarak giriş yap.","Google Play アカウントでログインすることで、ゲームの進行状況を安全にバックアップできます。","登录Google Play账户保存您的进度。\n请关注官方微信订阅号cocsupercell和服务号coc-kefu","Google Play 계정으로 로그인해서 진행 상황을 안전하게 보관하세요.","Войдите в свою учетную запись Google Play, чтобы обезопасить свой прогресс.","قم بتسجيل الدخول باستخدام حساب Google Play لحماية تقدمك.","使用Google Play帳號登入來保護您的遊戲進度。","برای محافظت از پیشرفتتان، با استفاده از حساب Google Play خود وارد سیستم شوید.","Masuk menggunakan akun Google Play untuk mengamankan kemajuanmu.","Daftar masuk menggunakan akaun Google Play anda untuk melindungi perkembangan anda.","Mag-sign in gamit ang Google Play account mo para maprotektahan ang progress mo.","Hãy đăng nhập bằng tài khoản Google Play để bảo vệ an toàn tiến trình của bạn."
"TID_START_WAR","Start War!","Déclarer la guerre","Beginne einen Krieg!","Iniciar guerra","Scatena la guerra!","Begin de oorlog!","Start krig!","Iniciar Guerra!","Savaşı Başlat!","開戦！","发起战争！","전쟁 시작!","Начать Войну!","بدء الحرب!","開始對戰！","شروع جنگ!","Mulai Perang!","Mulakan Perang!","Simulan ang War!","Bắt đầu cuộc chiến!"
"TID_START_WAR_FAILED_ALREADY_IN_WAR","Can't start a new war, your Clan is already in war!","Déclaration de guerre impossible, votre clan est déjà en guerre.","Du kannst keinen neuen Krieg beginnen. Dein Clan führt bereits einen Krieg!","No puedes iniciar una guerra porque tu clan ya está en una.","Il tuo clan sta già combattendo una guerra, non puoi scatenarne un'altra!","Je kunt geen nieuwe oorlog beginnen. Je clan is al oorlog aan het voeren.","Kan ikke starte en ny krig, klanen din er allerede med i en krig.","Você não pode começar uma nova guerra: o Clã já está em guerra!","Yeni bir savaş başlatamazsın, Klanın zaten savaşta!","他のクランに宣戦布告できません。今はクラン対戦中です！","无法发起新的部落对战，您的部落已经在战争中！","클랜이 이미 전쟁 중이므로 새로운 전쟁을 시작할 수 없습니다!","Невозможно начать войну: ваш Клан уже воюет!","لا يمكن بدء حرب جديدة، قبيلتك في حرب بالفعل!","無法發動新的部落對戰，你的部落已經處在對戰狀態。","نمی‌توانید جنگ جدیدی شروع کنید، قبیله شما اکنون در جنگ است!","Tidak dapat memulai perang baru, Klanmu sedang berperang!","Tidak dapat memulakan perang baru, Klan anda sudah berada dalam peperangan!","Hindi pwedeng magsimula ng bagong war, nakikipag-war na ang Clan mo!","Không thể bắt đầu cuộc chiến mới, Hội của bạn hiện đang tham chiến rồi!"
"TID_START_WAR_FAILED_NO_RIGHTS","Only Leader or Co-leader can start a war!","Seul le chef ou chef adjoint peut déclarer une guerre.","Nur Anführer oder Vize-Anführer können einen Krieg beginnen!","Solo los líderes y los colíderes pueden iniciar una guerra.","Solo i Capi e i Co-Capi possono scatenare una guerra!","Alleen leiders of co-leiders kunnen een oorlog beginnen!","Bare ledere og ass. ledere kan starte kriger.","Só Líderes ou Co-líderes podem iniciar uma guerra!","Sadece Lider ya da Yardımcı Lider savaş başlatabilir!","他のクランに宣戦布告できるのは、リーダーかサブリーダーだけです！","只有首领或者副首领能发起新的部落对战！","대표와 공동 대표만이 전쟁을 시작할 수 있습니다!","Лишь глава и соруководитель клана могут начать войну!","يمكن للقائد أو القائد المساعد فقط بدء الحرب!","只有首領或副首領可發動對戰！","تنها رهبر و قائم مقام می‌توانند یک جنگ را شروع کنند!","Hanya Pemimpin atau Wakil Pemimpin yang dapat memulai perang!","Hanya Ketua atau Ketua Bersama boleh memulakan perang!","Ang Leader o Co-leader lang ang pwedeng magsimula ng war!","Chỉ có Thủ lĩnh hoặc Đồng Thủ lĩnh mới được quyền bắt đầu cuộc chiến!"
"TID_START_WAR_FAILED_NOT_ENOUGH_MEMBERS","Can't start a war, not enough eligible clan members!","Déclaration de guerre impossible, votre clan n'a pas assez de membres éligibles.","Du kannst keinen Krieg beginnen. Dein Clan hat nicht genug zugelassene Mitglieder!","No puedes iniciar una guerra porque tu clan no tiene bastantes miembros con derecho a luchar en ella.","Impossibile scatenare una guerra: non ci sono abbastanza membri del clan idonei!","Oorlog kan niet worden gestart. Onvoldoende geschikte clanleden!","Kan ikke starte en krig, ikke nok egnede klanmedlemmer.","Você não pode começar uma guerra: membros qualificados insuficientes!","Savaş başlatılamaz, yeterince uygun klan üyesi yok!","参戦可能なメンバー数が不足しているため、クラン対戦を開始できません！","无法发起部落对战，部落可参战成员数量不足！","클랜 회원 수가 부족하여 전쟁을 시작할 수 없습니다!","Начать войну невозможно: не хватает соклановцев!","لا يمكن بدء الحرب، لا يوجد عدد كافٍ من أعضاء القبيلة المؤهلين!","無法發動部落對戰，部落中可參戰成員數量不足！","نمی‌توانید یک جنگ شروع کنید، تعداد اعضای واجد شرایط کافی نیست!","Tidak dapat memulai perang, anggota klan yang berhak tidak cukup!","Tidak dapat memulakan perang, ahli klan tidak cukup layak!","Hindi pwedeng magsimula ng war, kulang ng mga clan member na pwedeng sumali!","Không thể bắt đầu cuộc chiến, không đủ hội viên đủ điều kiện!"
"TID_START_WAR_FAILED_GENERIC_ERROR","Can't start a new war, try again later!","Déclaration de guerre impossible, réessayez plus tard.","Du kannst keinen neuen Krieg beginnen. Versuche es später erneut!","No se ha podido iniciar la guerra. Inténtalo más tarde.","Impossibile scatenare una guerra, riprova più tardi.","Je kunt geen nieuwe oorlog beginnen. Probeer het later opnieuw.","Kan ikke starte en krig, prøv igjen senere.","Você não pode começar uma nova guerra, tente novamente mais tarde!","Yeni bir savaş başlatamazsın, daha sonra tekrar dene!","他のクランに宣戦布告できません。あとでまたお試しください！","无法发起新的部落对战，请稍后重试！","새로운 전쟁을 시작할 수 없습니다! 나중에 다시 시도하세요!","Невозможно начать войну, попробуйте позже!","لا يمكن بدء حرب جديدة، حاول ثانيةً لاحقًا!","無法發動新的部落對戰，請稍後重試！","نمی‌توانید جنگ جدیدی شروع کنید، بعداً دوباره امتحان کنید!","Tidak dapat memulai perang, coba lagi nanti!","Tidak dapat memulakan perang baru, cuba lagi kemudian!","Hindi pwedeng magsimula ng bagong war, subukan ulit mamaya!","Không thể bắt đầu cuộc chiến mới, hãy thử lại sau!"
"TID_START_WAR_FAILED_NOT_IN_ALLIANCE","Can't start a war, you need to be in a Clan to start a war!","Déclaration de guerre impossible, vous devez appartenir à un clan.","Du musst in einem Clan sein, um einen Krieg zu beginnen!","Has de pertenecer a un clan para poder iniciar una guerra.","Impossibile scatenare una guerra: devi far parte di un clan!","Je kunt geen oorlog beginnen. Je moet lid zijn van een clan.","Kan ikke starte en krig. Du må være med i en klan for å starte kriger.","Você não pode começar uma guerra: é preciso estar em um clã para fazer isso!","Savaş başlatamazsın, savaş başlatabilmek için bir Klanda yer alman gerekiyor!","クランに参加していないので、クラン対戦はできません！","无法发起部落对战，您需要加入部落才能发起部落对战！","전쟁을 시작하려면 클랜에 소속되어 있어야 합니다!","Невозможно начать войну. Для этого вы должны быть в клане!","لا يمكن بدء الحرب، يجب أن تكون في قبيلة لبدء الحرب!","無法發動部落對戰，您需要加入部落才能發動對戰！","نمی‌توانید جنگ شروع کنید، شما باید برای شروع یک جنگ در یک قبیله باشید!","Tidak dapat memulai perang, harus ikut Klan untuk memulai perang!","Tidak dapat memulakan perang, anda perlu berada dalam Klan untuk memulakan perang!","Hindi pwedeng magsimula ng war, kasali ka dapat sa isang Clan para makapagsimula ng war!","Không thể bắt đầu cuộc chiến, bạn cần phải là thành viên Hội mới có thể bắt đầu cuộc chiến!"
"TID_CLAN_STAT_VICTORIES","Victories:","Victoires :","Siege:","Victorias:","Vittorie:","Overwinningen:","Seiere:","Vitórias:","Zaferler:","勝利：","胜利次数：","승리:","Побед:","الانتصارات:","勝利次數：","پیروزی‌ها","Menang:","Kemenangan:","Mga Pagkapanalo:","Thắng trận:"
"TID_CLAN_STAT_DEFEATS","Defeats:","Défaites :","Niederlagen:","Derrotas:","Sconfitte:","Nederlagen:","Nederlag:","Derrotas:","Yenilgiler:","敗北：","失败次数：","패배:","Поражений:","الهزائم:","戰敗次數：","شکست‌ها","Kalah:","Kekalahan:","Mga Pagkatalo:","Bại trận:"
"TID_LAST_WAR","Last War:","Dernière guerre :","Letzter Krieg:","Última guerra:","Ultima guerra:","Laatste oorlog:","Siste krig:","Última guerra:","Son Savaş:","前回：","上一场战争：","마지막 전쟁:","Последняя война:","آخر حرب:","上次對戰：","آخرین جنگ:","Perang Terakhir:","Perang Terakhir:","Huling War:","Trận chiến gần nhất:"
"TID_PUSH_WAR_0","War has been declared against <data>!","La guerre a été déclarée contre <data> !","Gegen <data> wurde der Krieg erklärt!","¡Se ha declarado la guerra a <data>!","È stata dichiarata guerra a <data>!","De oorlog is verklaard aan <data>!","Det er erklært krig mot <data>!","A guerra foi declarada contra <data>!","<data> ile savaş ilan edildi!","<data>への宣戦布告が行われました！","您的部落已经向<data>宣战！","<data>님에게 전쟁을 선포했습니다!","Объявлена война, противник — <data>!","تم إعلان الحرب ضد <data>!","你的部落已向<data>宣戰！","جنگ در مقابل <data> اعلام شده است!","Perang sudah dinyatakan melawan <data>!","Perang telah diisytiharkan terhadap <data>!","Nagdeklara ng war laban sa <data>!","Đã tuyên chiến với <data>!"
"TID_PUSH_WAR_1","War preparation time is about to run out!","La période de préparation à la guerre touche à sa fin !","Es ist nicht mehr viel Zeit für die Kriegsvorbereitungen!","¡El tiempo de preparación para la guerra está a punto de acabarse!","Il tempo per i preparativi sta per scadere!","De voorbereidingstijd voor de oorlog is bijna voorbij!","Krigsforberedelsene er snart avsluttet!","O tempo de preparação para a guerra está quase esgotado!","Savaş hazırlık süresi bitmek üzere!","クラン対戦の準備期間がまもなく終了します！","部落对战准备日即将结束！","전쟁 준비 시간이 곧 종료됩니다!","Время подготовки к войне почти закончилось!","مدة الإعداد للحرب على وشك النفاد!","對戰準備時間即將結束！","زمان آماده‌سازی جنگ در حال اتمام است!","Waktu persiapan perang klan hampir habis!","Masa persediaan peperangan akan tamat!","Malapit nang matapos ang oras para sa paghahanda sa war!","Thời gian chuẩn bị cho trận chiến sắp hết!"
"TID_PUSH_WAR_2","Battle day has started against <data>!","Le jour de combat contre <data> a commencé !","Der Kampftag gegen <data> hat begonnen!","¡El día de la batalla contra <data> ha empezado!","È iniziato il giorno di battaglia contro <data>!","De gevechtsdag tegen <data> is begonnen!","Kampdagen mot <data> har startet!","O dia de batalha contra <data> começou!","<data> düşmanı için savaş günü başladı!","<data>とのクラン対戦が始まりました！","与<data>的部落对战已经开始！","<data> 대항 전투일이 시작됐습니다!","Началась война! Противник — <data>!","بدأ يوم المعركة ضد <data>!","與<data>之間的部落對戰已經開始！","روز نبرد در برابر <data> شروع شده است!","Hari pertempuran telah dimulai melawan <data>!","Hari pertempuran telah bermula terhadap <data>!","Nagsimula na ang Battle day laban sa <data>!","Ngày chiến đấu đã bắt đầu với <data>!"
"TID_PUSH_WAR_3","The war against <data> is ending soon.","La guerre contre <data> va bientôt se terminer.","Der Krieg mit <data> endet bald.","Pronto acabará la guerra contra <data>.","La guerra contro <data> sta per terminare.","De oorlog tegen <data> is bijna afgelopen.","Krigen mot <data> er snart over.","A guerra contra <data> acabará em breve.","<data> ile yapılan savaş yakında sona erecek.","<data>とのクラン対戦がまもなく終了します。","与<data>的部落对战即将结束。","<data> 대항 전쟁이 곧 종료됩니다.","<data> скоро закончит войну.","ستنتهي الحرب ضد <data> قريبًا.","與<data>之間的部落對戰即將結束。","جنگ در مقابل <data> به زودی تمام می‌شود.","Perang melawan <data> akan segera berakhir.","Perang terhadap <data> akan tamat tidak lama lagi.","Malapit nang matapos ang war laban sa <data>.","Trận chiến với <data> sắp kết thúc."
"TID_PUSH_WAR_4","The war against <data> has ended.","La guerre contre <data> est terminée.","Der Krieg mit <data> ist zu Ende.","La guerra contra <data> ha terminado.","La guerra contro <data> è terminata.","De oorlog tegen <data> is afgelopen.","Krigen mot <data> er over.","A guerra contra <data> terminou.","<data> ile yapılan savaş sona erdi.","<data>とのクラン対戦が終了しました。","与<data>的部落对战已经结束。","<data> 대항 전쟁이 종료되었습니다.","Война (противник — <data>) закончилась.","انتهت الحرب ضد <data>.","與<data>之間的部落對戰已經結束。","جنگ در مقابل <data> تمام شده است.","Perang melawan <data> telah berakhir.","Perang terhadap <data> telah tamat.","Natapos na ang war laban sa <data>.","Trận chiến với <data> đã kết thúc."
"TID_ALLIANCE_WAR_VICTORY","Victory","Victoire","Sieg","Victoria","Vittoria","Overwinning","Seier","Vitória","Zafer","勝利","胜利","승리","Победа","انتصار","勝利","پیروزی","Kemenangan","Kemenangan","Panalo","Chiến thắng"
"TID_ALLIANCE_WAR_DEFEAT","Defeat","Défaite","Niederlage","Derrota","Sconfitta","Nederlaag","Nederlag","Derrota","Yenilgi","敗北","失败","패배","Поражение","هزيمة","戰敗","شکست","Kalahkan","Kalah","Talo","Bại trận"
"TID_OBSTACLE_XMASPRESENT","Present","Cadeau","Geschenk","Regalo","Regalo","Cadeau","Gave","Presente","Hediye","プレゼント","礼物","선물","Подарок","حال","禮物","هدیه","Kado","Hadiah","Present","Quà"
"TID_TRAP_SANTA","Santa Strike","Coup de Noël","Santa-Schlag","Lluvia de regalos","Attacco natalizio","Kerstknaller","Nisseforsvar","Chuva de Presentes","Noel Darbesi","サンタストライク","圣诞奇袭","산타의 습격","Удар Санты","ضربة بابا نويل","聖誕奇襲","ضربه ی بابا نوئل","Serbuan Santa","Serangan Santa","Santa Strike","Đòn đánh Ông già Noel"
